head,relation,tail,template_id,template
List of Chicago blues musicians,category contains,Huamn,7,[X] is a member [REL] of [Y].
Huamn,category contains,List of Chicago blues musicians,6,[X] is a group [REL] including [Y].
List of Chemins de Fer du Nord locomotives,category contains,Locomotive/Comments,7,[X] is a member [REL] of [Y].
Locomotive/Comments,category contains,List of Chemins de Fer du Nord locomotives,6,[X] is a group [REL] including [Y].
2017 vuelta a colombia,best sprinter classification,Diego Ochoa,22,[X] saw the [REL] to [Y].
Diego Ochoa,best sprinter classification,2017 vuelta a colombia,23,[X] won the [REL] in [Y].
2017 vuelta a colombia,best sprinter classification,César Nicolas Paredes,22,[X] saw the [REL] to [Y].
César Nicolas Paredes,best sprinter classification,2017 vuelta a colombia,23,[X] won the [REL] in [Y].
Giro d'Italia 1∞,best sprinter classification,Eugert Zhupa,22,[X] saw the [REL] to [Y].
Eugert Zhupa,best sprinter classification,Giro d'Italia 1∞,23,[X] won the [REL] in [Y].
Giro d'Italia 1∞,best sprinter classification,pawel brutt,22,[X] saw the [REL] to [Y].
pawel brutt,best sprinter classification,Giro d'Italia 1∞,23,[X] won the [REL] in [Y].
medoc classification,classification of race,Wine/Comments,0,[X] has [REL] as [Y].
Wine/Comments,classification of race,medoc classification,1,[X] is [REL] of [Y].
viktoria alix helena luise beatrice prinzessin von hessen und bei,mtDNA haplogroup,Haplogroup H1 (mtDNA),0,[X] has [REL] as [Y].
Haplogroup H1 (mtDNA),mtDNA haplogroup,viktoria alix helena luise beatrice prinzessin von hessen und bei,1,[X] is [REL] of [Y].
momia juanita,mtDNA haplogroup,haplogroup a (mtdna),0,[X] has [REL] as [Y].
haplogroup a (mtdna),mtDNA haplogroup,momia juanita,1,[X] is [REL] of [Y].
south african national census of 2011,determination method,self-administered survey,0,[X] has [REL] as [Y].
self-administered survey,determination method,south african national census of 2011,1,[X] is [REL] of [Y].
2011 italian census,determination method,self-administered survey,0,[X] has [REL] as [Y].
self-administered survey,determination method,2011 italian census,1,[X] is [REL] of [Y].
greek 2011 census,determination method,self-administered survey,0,[X] has [REL] as [Y].
self-administered survey,determination method,greek 2011 census,1,[X] is [REL] of [Y].
Tavasco,determination method,History of war,0,[X] has [REL] as [Y].
History of war,determination method,Tavasco,1,[X] is [REL] of [Y].
de Finetti diagram,spatial reference system,barycentric coordinate system (mathematics),0,[X] has [REL] as [Y].
barycentric coordinate system (mathematics),spatial reference system,de Finetti diagram,1,[X] is [REL] of [Y].
Ognon Lock,located on linear feature,canal du midi/comments,12,[X] is [REL] based in [Y].
canal du midi/comments,located on linear feature,Ognon Lock,13,[X] geographically has [REL] [Y].
landeck railway station,located on linear feature,arlberg railway,12,[X] is [REL] based in [Y].
arlberg railway,located on linear feature,landeck railway station,13,[X] geographically has [REL] [Y].
Fonserannes locks,located on linear feature,canal du midi/comments,12,[X] is [REL] based in [Y].
canal du midi/comments,located on linear feature,Fonserannes locks,13,[X] geographically has [REL] [Y].
Homps Lock,located on linear feature,canal du midi/comments,12,[X] is [REL] based in [Y].
canal du midi/comments,located on linear feature,Homps Lock,13,[X] geographically has [REL] [Y].
Ocean Lock,located on linear feature,canal du midi/comments,12,[X] is [REL] based in [Y].
canal du midi/comments,located on linear feature,Ocean Lock,13,[X] geographically has [REL] [Y].
Argens Lock,located on linear feature,canal du midi/comments,12,[X] is [REL] based in [Y].
canal du midi/comments,located on linear feature,Argens Lock,13,[X] geographically has [REL] [Y].
pechlaurier lock,located on linear feature,canal du midi/comments,12,[X] is [REL] based in [Y].
canal du midi/comments,located on linear feature,pechlaurier lock,13,[X] geographically has [REL] [Y].
river loing,located on linear feature,river seine,12,[X] is [REL] based in [Y].
river seine,located on linear feature,river loing,13,[X] geographically has [REL] [Y].
amersham & chesham bois station,located on linear feature,Tube line,12,[X] is [REL] based in [Y].
Tube line,located on linear feature,amersham & chesham bois station,13,[X] geographically has [REL] [Y].
negra lock,located on linear feature,canal du midi/comments,12,[X] is [REL] based in [Y].
canal du midi/comments,located on linear feature,negra lock,13,[X] geographically has [REL] [Y].
Foliar nectary,substrate of,Honeyed water,0,[X] has [REL] as [Y].
Honeyed water,substrate of,Foliar nectary,1,[X] is [REL] of [Y].
Reelin,EC enzyme classification,ec 3.4.21.-,19,[X] classifies into [REL] as [Y].
ec 3.4.21.-,EC enzyme classification,Reelin,18,[X] ’s [REL] includes [Y].
"alcohol dehydrogenase 1A (class I), alpha polypeptide",EC enzyme classification,Cytosolic ADH,19,[X] classifies into [REL] as [Y].
Cytosolic ADH,EC enzyme classification,"alcohol dehydrogenase 1A (class I), alpha polypeptide",18,[X] ’s [REL] includes [Y].
botulinumtoxin,EC enzyme classification,Acid proteinase,19,[X] classifies into [REL] as [Y].
Acid proteinase,EC enzyme classification,botulinumtoxin,18,[X] ’s [REL] includes [Y].
general of the armies of the united states,next lower rank,General of the army of the United States,0,[X] has [REL] as [Y].
General of the army of the United States,next lower rank,general of the armies of the united states,1,[X] is [REL] of [Y].
Number of words in English,signed form,Manually represented English,0,[X] has [REL] as [Y].
Manually represented English,signed form,Number of words in English,1,[X] is [REL] of [Y].
shang ko-hsi,Eight Banner register,bordered blue banner,7,[X] is a member [REL] of [Y].
bordered blue banner,Eight Banner register,shang ko-hsi,6,[X] is a group [REL] including [Y].
Regan MacNeil,possessed by spirit,pazuzu (the exorcist),14,[X] is [REL] by [Y].
pazuzu (the exorcist),possessed by spirit,Regan MacNeil,15,[X] [REL] [Y].
guybrush marley-threepwood,possessed by spirit,Captain LeChuck,14,[X] is [REL] by [Y].
Captain LeChuck,possessed by spirit,guybrush marley-threepwood,15,[X] [REL] [Y].
"Crowley, Aleister",possessed by spirit,Aiwaz,14,[X] is [REL] by [Y].
Aiwaz,possessed by spirit,"Crowley, Aleister",15,[X] [REL] [Y].
Harry Potter (fictional character),possessed by spirit,Lord voldemort,14,[X] is [REL] by [Y].
Lord voldemort,possessed by spirit,Harry Potter (fictional character),15,[X] [REL] [Y].
Winnifred Burkle,possessed by spirit,Illyria (Buffyverse),14,[X] is [REL] by [Y].
Illyria (Buffyverse),possessed by spirit,Winnifred Burkle,15,[X] [REL] [Y].
"He's dead, Jim",possessed by spirit,Spock (Alternate Reality),14,[X] is [REL] by [Y].
Spock (Alternate Reality),possessed by spirit,"He's dead, Jim",15,[X] [REL] [Y].
Equus caballus ewarti,gait,Pace (horse gait),0,[X] has [REL] as [Y].
Pace (horse gait),gait,Equus caballus ewarti,1,[X] is [REL] of [Y].
Modern humans,gait,foot strike (gait),0,[X] has [REL] as [Y].
foot strike (gait),gait,Modern humans,1,[X] is [REL] of [Y].
pi continued fraction,approximation algorithm,gauss-legendre,19,[X] classifies into [REL] as [Y].
gauss-legendre,approximation algorithm,pi continued fraction,18,[X] ’s [REL] includes [Y].
pi continued fraction,approximation algorithm,Borwein algorithm,19,[X] classifies into [REL] as [Y].
Borwein algorithm,approximation algorithm,pi continued fraction,18,[X] ’s [REL] includes [Y].
megabat family,natural reservoir of,Ebolavirus,0,[X] has [REL] as [Y].
Ebolavirus,natural reservoir of,megabat family,1,[X] is [REL] of [Y].
Michele Pittaluga International Classical Guitar Competition,statement supported by,unesco,14,[X] is [REL] by [Y].
unesco,statement supported by,Michele Pittaluga International Classical Guitar Competition,15,[X] [REL] [Y].
singapore airlines flight 380,takeoff and landing capability,conventional take-off and landing,0,[X] has [REL] as [Y].
conventional take-off and landing,takeoff and landing capability,singapore airlines flight 380,1,[X] is [REL] of [Y].
McDonnell Douglas AV-8B Harrier II/Comments,takeoff and landing capability,Jump jet,0,[X] has [REL] as [Y].
Jump jet,takeoff and landing capability,McDonnell Douglas AV-8B Harrier II/Comments,1,[X] is [REL] of [Y].
Grumman F-14A-110-GR Tomcat,takeoff and landing capability,catapult assisted take-off barrier arrested recovery,0,[X] has [REL] as [Y].
catapult assisted take-off barrier arrested recovery,takeoff and landing capability,Grumman F-14A-110-GR Tomcat,1,[X] is [REL] of [Y].
DAR 9A,takeoff and landing capability,conventional take-off and landing,0,[X] has [REL] as [Y].
conventional take-off and landing,takeoff and landing capability,DAR 9A,1,[X] is [REL] of [Y].
dar 10,takeoff and landing capability,conventional take-off and landing,0,[X] has [REL] as [Y].
conventional take-off and landing,takeoff and landing capability,dar 10,1,[X] is [REL] of [Y].
City Slickers Can't Stay with Me - The Coach Bob,review score by,Newyorktimes.com,14,[X] is [REL] by [Y].
Newyorktimes.com,review score by,City Slickers Can't Stay with Me - The Coach Bob,15,[X] [REL] [Y].
act raiser,review score by,howard and nester,14,[X] is [REL] by [Y].
howard and nester,review score by,act raiser,15,[X] [REL] [Y].
act raiser,review score by,ign us,14,[X] is [REL] by [Y].
ign us,review score by,act raiser,15,[X] [REL] [Y].
act raiser,review score by,Lego Halo,14,[X] is [REL] by [Y].
Lego Halo,review score by,act raiser,15,[X] [REL] [Y].
real-time queue,relative to,Pop (computer programming),15,[X] [REL] [Y].
Pop (computer programming),relative to,real-time queue,15,[X] [REL] [Y].
tiny penis,relative to,Third leg,15,[X] [REL] [Y].
Third leg,relative to,tiny penis,15,[X] [REL] [Y].
946 eruption of paektu mountain,volcanic explosivity index,Mystical number seven,0,[X] has [REL] as [Y].
Mystical number seven,volcanic explosivity index,946 eruption of paektu mountain,1,[X] is [REL] of [Y].
Mazzaro Market,closed on,ravivar,8,[X] happens [REL] in [Y].
ravivar,closed on,Mazzaro Market,9,[X] witness [REL] happening of [Y].
Chik-Fil-A,closed on,ravivar,8,[X] happens [REL] in [Y].
ravivar,closed on,Chik-Fil-A,9,[X] witness [REL] happening of [Y].
dunnet head,vice-county,Caithness,12,[X] is [REL] based in [Y].
Caithness,vice-county,dunnet head,13,[X] geographically has [REL] [Y].
Natural gas processing,by-product,inhaling helium,0,[X] has [REL] as [Y].
inhaling helium,by-product,Natural gas processing,1,[X] is [REL] of [Y].
pastorlism,by-product,Manures,0,[X] has [REL] as [Y].
Manures,by-product,pastorlism,1,[X] is [REL] of [Y].
Threshing,by-product,glumes,0,[X] has [REL] as [Y].
glumes,by-product,Threshing,1,[X] is [REL] of [Y].
hitman: blood money (game score),CERO rating,geschwanztes z,0,[X] has [REL] as [Y].
geschwanztes z,CERO rating,hitman: blood money (game score),1,[X] is [REL] of [Y].
dorde,patronym or matronym for this name,djordjević,0,[X] has [REL] as [Y].
djordjević,patronym or matronym for this name,dorde,1,[X] is [REL] of [Y].
johan (first name),patronym or matronym for this name,johansson,0,[X] has [REL] as [Y].
johansson,patronym or matronym for this name,johan (first name),1,[X] is [REL] of [Y].
morris (first name),patronym or matronym for this name,morrison (family name),0,[X] has [REL] as [Y].
morrison (family name),patronym or matronym for this name,morris (first name),1,[X] is [REL] of [Y].
Gaia Data Release 1,received signal type,X-band,0,[X] has [REL] as [Y].
X-band,received signal type,Gaia Data Release 1,1,[X] is [REL] of [Y].
cystic fibrosis transmembrane conductance regulator,deletion association with,mammal's penis,0,[X] has [REL] as [Y].
mammal's penis,deletion association with,cystic fibrosis transmembrane conductance regulator,1,[X] is [REL] of [Y].
Runic script,script directionality,boustrephodon,0,[X] has [REL] as [Y].
boustrephodon,script directionality,Runic script,1,[X] is [REL] of [Y].
ﯨ,script directionality,right-to-left,0,[X] has [REL] as [Y].
right-to-left,script directionality,ﯨ,1,[X] is [REL] of [Y].
Epsomite,point group,Bisphenoid,24,[X] with [REL] is [Y].
Bisphenoid,point group,Epsomite,0,[X] has [REL] as [Y].
t790m,biological variant of,PIG61,1,[X] is [REL] of [Y].
PIG61,biological variant of,t790m,0,[X] has [REL] as [Y].
V600E,biological variant of,B-raf 1,1,[X] is [REL] of [Y].
B-raf 1,biological variant of,V600E,0,[X] has [REL] as [Y].
Volitive modality,grammatical option indicates,Wish,15,[X] [REL] [Y].
Wish,grammatical option indicates,Volitive modality,14,[X] is [REL] by [Y].
Chemical isotope,metasubclass of,nutritional chemical elements,1,[X] is [REL] of [Y].
nutritional chemical elements,metasubclass of,Chemical isotope,0,[X] has [REL] as [Y].
Diaspora people,metasubclass of,Ethnick,1,[X] is [REL] of [Y].
Ethnick,metasubclass of,Diaspora people,0,[X] has [REL] as [Y].
YAMAM,type of unit for this property,elite army unit,1,[X] is [REL] of [Y].
elite army unit,type of unit for this property,YAMAM,0,[X] has [REL] as [Y].
LOTAR Eilat,type of unit for this property,elite army unit,1,[X] is [REL] of [Y].
elite army unit,type of unit for this property,LOTAR Eilat,0,[X] has [REL] as [Y].
anton demchenko,dan/kyu rank,Chess Grand Master,24,[X] with [REL] is [Y].
Chess Grand Master,dan/kyu rank,anton demchenko,15,[X] [REL] [Y].
Yasuo Kobayashi,dan/kyu rank,deaths in 8,24,[X] with [REL] is [Y].
deaths in 8,dan/kyu rank,Yasuo Kobayashi,15,[X] [REL] [Y].
Heide Wollert,dan/kyu rank,౪,24,[X] with [REL] is [Y].
౪,dan/kyu rank,Heide Wollert,15,[X] [REL] [Y].
ISO 639:tji,UNESCO language status,湘西州,1,[X] is [REL] of [Y].
湘西州,UNESCO language status,ISO 639:tji,0,[X] has [REL] as [Y].
Amadeus Basin,interleaves with,willara sub-basin,15,[X] [REL] [Y].
willara sub-basin,interleaves with,Amadeus Basin,14,[X] is [REL] by [Y].
Kayenta Sandstone,interleaves with,Shaman stone,15,[X] [REL] [Y].
Shaman stone,interleaves with,Kayenta Sandstone,14,[X] is [REL] by [Y].
Ella Yelich-O'Connor,topic's main template,Ella Yelich-O'Connor,0,[X] has [REL] as [Y].
Ella Yelich-O'Connor,topic's main template,Ella Yelich-O'Connor,0,[X] has [REL] as [Y].
Giro d'Italia 1∞,best combative classification,Pierre Rolland (road bicycle racer),22,[X] saw the [REL] to [Y].
Pierre Rolland (road bicycle racer),best combative classification,Giro d'Italia 1∞,23,[X] won the [REL] in [Y].
Emerging-markets,criterion used,purchasing power standard,15,[X] [REL] [Y].
purchasing power standard,criterion used,Emerging-markets,14,[X] is [REL] by [Y].
Emerging-markets,criterion used,gdp,15,[X] [REL] [Y].
gdp,criterion used,Emerging-markets,14,[X] is [REL] by [Y].
Geneweb,MediaWiki hooks used,Geneweb,14,[X] is [REL] by [Y].
Geneweb,MediaWiki hooks used,Geneweb,14,[X] is [REL] by [Y].
the last of england (painting),sitter,miss cathy madox brown,0,[X] has [REL] as [Y].
miss cathy madox brown,sitter,the last of england (painting),1,[X] is [REL] of [Y].
woman with parrot,sitter,Lise Trehot,0,[X] has [REL] as [Y].
Lise Trehot,sitter,woman with parrot,1,[X] is [REL] of [Y].
the last of england (painting),sitter,ford madox brown,0,[X] has [REL] as [Y].
ford madox brown,sitter,the last of england (painting),1,[X] is [REL] of [Y].
Fe-40,magnetic ordering,magnetic metals,7,[X] is a member [REL] of [Y].
magnetic metals,magnetic ordering,Fe-40,6,[X] is a group [REL] including [Y].
War is Peace,author of afterword,Eric fromm,0,[X] has [REL] as [Y].
Eric fromm,author of afterword,War is Peace,1,[X] is [REL] of [Y].
Palmetto College,teaching method,Teleteaching,0,[X] has [REL] as [Y].
Teleteaching,teaching method,Palmetto College,1,[X] is [REL] of [Y].
didot (typeface),Vox-ATypI classification,fat face typefaces,0,[X] has [REL] as [Y].
fat face typefaces,Vox-ATypI classification,didot (typeface),1,[X] is [REL] of [Y].
Walbaum (typeface),Vox-ATypI classification,fat face typefaces,0,[X] has [REL] as [Y].
fat face typefaces,Vox-ATypI classification,Walbaum (typeface),1,[X] is [REL] of [Y].
Mikulin RD-9,compressor type,axial flow compression,0,[X] has [REL] as [Y].
axial flow compression,compressor type,Mikulin RD-9,1,[X] is [REL] of [Y].
j30,compressor type,axial flow compression,0,[X] has [REL] as [Y].
axial flow compression,compressor type,j30,1,[X] is [REL] of [Y].
Carolingian Europe,excluding,Islands,15,[X] [REL] [Y].
Islands,excluding,Carolingian Europe,14,[X] is [REL] by [Y].
Giorgio De Stefani,playing hand,Ambidexterity,14,[X] is [REL] by [Y].
Ambidexterity,playing hand,Giorgio De Stefani,15,[X] [REL] [Y].
BRCA1 (gene),gene substitution association with,ER negative,1,[X] is [REL] of [Y].
ER negative,gene substitution association with,BRCA1 (gene),0,[X] has [REL] as [Y].
VIIIa,gene inversion association with,haemophilia A,1,[X] is [REL] of [Y].
haemophilia A,gene inversion association with,VIIIa,0,[X] has [REL] as [Y].
CMT1A,gene duplication association with,cmtd,15,[X] [REL] [Y].
cmtd,gene duplication association with,CMT1A,14,[X] is [REL] by [Y].
Dtu,Wi-Fi access,eduroam,0,[X] has [REL] as [Y].
eduroam,Wi-Fi access,Dtu,1,[X] is [REL] of [Y].
victoria dergunova,instance of,Huamn,7,[X] is a member [REL] of [Y].
Huamn,instance of,victoria dergunova,6,[X] is a group [REL] including [Y].
